County,High School Grad,4 Year College Degree,Highest Unemployment Rate,Highest UR was during Pandemic,2017 Census of Agriculture Rank(Crops)
Los Angeles,80.9,34.0,13.2,1,31
Alameda,89.0,49.6,11.5,1,41
San Bernardino,81.1,21.9,14.5,0,33
Riverside,83.0,23.5,14.8,1,14
Placer,94.8,41.6,12.4,1,40
Siskiyou,89.9,21.5,21.1,0,29
Madera,71.8,16.4,20.0,0,11
El Dorado,94.7,36.8,13.1,1,44
Calaveras,90.8,19.9,15.9,0,48
Sutter,79.6,20.0,24.9,0,23
Colusa,73.3,14.7,34.5,0,20
Butte,73.3,14.7,15.4,1,22
Lake,86.6,17.5,18.1,0,38
Yuba,81.2,17.7,21.7,0,28
Del Norte,80.6,16.1,17.4,0,46
Yolo,87.6,43.1,13.7,0,19
San Diego,88.3,40.3,11.5,1,13
Humboldt,91.0,31.2,11.9,1,36
Amador,91.3,19.5,15.5,1,42
Glenn,76.5,14.9,22.7,0,21
Mono,87.2,29.5,19.4,1,50
Ventura,85.6,34.0,11.7,1,6
Plumas,94.6,23.0,24.7,0,51
Solano,88.9,27.8,13.5,1,26
Napa,85.2,37.0,11.9,1,18
San Luis Obispo,91.9,36.7,10.8,1,15
Tuolumne,92.1,24.6,17.3,1,54
Alpine,93.7,39.3,32.1,0,58
Sierra,94.4,22.3,20.8,0,56
Tehama,85.8,17.0,17.9,0,29
Marin,93.4,60.1,8.7,1,47
Trinity,93.9,18.6,25.4,0,55
Monterey,73.0,26.5,20.1,0,2
Orange,86.6,42.1,10.5,1,34
San Francisco,88.8,59.5,9.8,1,57
Mendocino,86.6,24.5,15.1,1,30
Santa Cruz,88.3,41.9,16.7,1,17
Kings,73.6,14.3,20.0,0,12
Fresno,77.9,22.6,19.0,0,1
Santa Barbara,81.9,35.1,11.1,1,7
Shasta,91.1,22.6,19.1,0,43
Sonoma,89.2,37.1,11.9,1,16
Kern,75.9,17.6,18.6,1,3
Modoc,85.5,19.7,19.9,0,35
Sacramento,88.1,32.0,13.3,1,24
Santa Clara,89.2,54.4,11.8,1,25
San Joaquin,80.3,19.5,18.3,0,5
Nevada,95.1,38.7,12.6,1,49
Mariposa,90.9,28.9,21.7,0,52
Tulare,72.6,15.2,24.6,0,4
Contra Costa,89.7,44.1,11.7,1,39
Merced,70.4,14.1,22.5,0,9
San Benito,83.3,20.5,22.2,0,32
Lassen,80.0,11.8,17.5,0,45
San Mateo,90.8,52.5,9.2,1,37
Stanislaus,80.0,17.9,19.7,0,8
Inyo,92.5,27.3,13.5,1,53
Nevada,70.4,15.2,40.6,0,8
